context_num,range,batch_num,piece_count
,26-52,batch_002,8
,,batch_003,9
,,batch_004,10
,53-59,batch_005,3
,,batch_006,2
,,batch_007,2
,60-82,batch_008,5
,,batch_009,6
,,batch_010,4
,,batch_011,3
,,batch_012,5
,83-119,batch_013,5
,,batch_014,5
,,batch_015,4
,,batch_016,7
,,batch_017,3
,,batch_018,12
,,batch_019,1
,120-147,batch_020,8
,,batch_021,6
,,batch_022,11
,,batch_023,3
,148-214,batch_024,8
,,batch_025,14
,,batch_026,18
,,batch_027,14
,,batch_028,14
,215-251,batch_029,12
,,batch_030,11
,,batch_031,9
,,batch_032,5
,252,batch_033,1
72,1-16,batch_000,1
,,batch_001,12
,,batch_002,2
,,batch_003,2
,17-19,batch_004,1
,,batch_005,1
,,batch_006,1
,20-37,batch_007,18
,,batch_008,2
73,1-22,batch_000,1
,,batch_001,8
,,batch_002,11
,,batch_003,2
,23-65,batch_004,12
,,batch_005,15
,,batch_006,9
,,batch_007,7
,66-68,batch_008,3
74,1-45,batch_000,6
,,batch_001,7
,,batch_002,6
,,batch_003,7
,,batch_004,6
,,batch_005,7
,,batch_006,5
,,batch_007,1
,46-116,batch_008,12
,,batch_009,13
,,batch_010,14
,,batch_011,15
,,batch_012,10
,,batch_013,7
,117-170,batch_014,11
,,batch_015,12
,,batch_016,11
,,batch_017,11
,,batch_018,9
,171-292,batch_019,20
,,batch_020,19
,,batch_021,17
,,batch_022,20
,,batch_023,18
,,batch_024,16
,,batch_025,12
75,1-49,batch_000,7
,,batch_001,10
,,batch_002,7
,,batch_003,12
,,batch_004,10
,,batch_005,4
,50-59,batch_006,2
,,batch_007,2
,,batch_008,3
,,batch_009,2
,,batch_010,1
,60-97,batch_011,11
,,batch_012,13
,,batch_013,14
76,1-58,batch_000,13
,,batch_001,9
,,batch_002,12
,,batch_003,15
,,batch_004,9
,59-89,batch_005,8
,,batch_006,9
,,batch_007,7
,,batch_008,7
,90-108,batch_009,6
,,batch_010,5
,,batch_011,4
,,batch_012,3
,,batch_013,1
,109-115,batch_014,4
,,batch_015,1
,,batch_016,2
,116-146,batch_017,12
,,batch_018,9
,,batch_019,10
,147-185,batch_020,16
,,batch_021,16
,,batch_022,9
,186-334,batch_023,12
,,batch_024,12
,,batch_025,13
,,batch_026,14
,,batch_027,16
,,batch_028,15
,,batch_029,16
,,batch_030,19
,,batch_031,16
,,batch_032,12
,,batch_033,4
77,1-33,batch_000,10
,,batch_001,9
,,batch_002,9
,,batch_003,5
,34-63,batch_004,1
,,batch_005,5
,,batch_006,5
,,batch_007,8
,,batch_008,4
,,batch_009,5
,,batch_010,1
,,batch_011,1
,64-99,batch_012,9
,,batch_013,7
,,batch_014,11
,,batch_015,7
,,batch_016,2
,100-110,batch_017,4
,,batch_018,3
,,batch_019,3
,,batch_020,1
,111-160,batch_021,10
,,batch_022,9
,,batch_023,10
